INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.59626,4
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.89333,4
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.46856,4
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.43164,4
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.49251,4
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.4001,4
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.38401,4
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.39338,4
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.3682,4
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.24049,4
